time,MAC,packet
2025-09-18 12:23:52.365278,00:0c:29:77:3b:af,Ether / fe80::535:7b17:55d2:b0ca > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.408082,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6 Echo Request (id: 0x6f seq: 0x0)
2025-09-18 12:23:52.419009,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6 Echo Reply (id: 0x6f seq: 0x0)
2025-09-18 12:23:52.460086,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6 Echo Request (id: 0x6f seq: 0x0)
2025-09-18 12:23:52.472758,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6 Echo Reply (id: 0x6f seq: 0x0)
2025-09-18 12:23:52.495473,00:0c:29:c2:dc:18,Ether / 2001:a:b:c:2f3b:681d:45b5:b57b > ff02::1 (60) / IPv6ExtHdrDestOpt / Raw
2025-09-18 12:23:52.503686,ca:01:07:3b:00:08,Ether / 2001:a:b:c::1 > 2001:a:b:c:2f3b:681d:45b5:b57b (58) / ICMPv6ParamProblem / IPerror6 / IPv6ExtHdrDestOpt / Raw
2025-09-18 12:23:52.539812,00:0c:29:c2:dc:18,Ether / fe80::2cc4:e237:ed99:86bb > ff02::1 (60) / IPv6ExtHdrDestOpt / Raw
2025-09-18 12:23:52.546211,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > fe80::2cc4:e237:ed99:86bb (58) / ICMPv6ParamProblem / IPerror6 / IPv6ExtHdrDestOpt / Raw
2025-09-18 12:23:52.547400,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > ff02::2 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.548386,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > ff02::1:ff00:1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.549542,ca:01:07:3b:00:08,Ether / fe80::c801:7ff:fe3b:8 > ff02::1:ff3b:8 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2025-09-18 12:23:52.580455,00:0c:29:c2:dc:18,Ether / IPv6 / IPv6ExtHdrDestOpt / ICMPv6 Echo Request (id: 0x14d seq: 0x0)
2025-09-18 12:23:52.588544,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6ParamProblem / IPerror6 / IPv6ExtHdrDestOpt / ICMPv6 Echo Request (id: 0x14d seq: 0x0)
2025-09-18 12:23:52.637277,00:0c:29:c2:dc:18,Ether / IPv6 / IPv6ExtHdrDestOpt / ICMPv6 Echo Request (id: 0x14d seq: 0x0)
2025-09-18 12:23:52.642648,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6ParamProblem / IPerror6 / IPv6ExtHdrDestOpt / ICMPv6 Echo Request (id: 0x14d seq: 0x0)
2025-09-18 12:23:52.684375,00:0c:29:c2:dc:18,Ether / IPv6 / IPv6ExtHdrHopByHop / ICMPv6 Echo Request (id: 0x1bc seq: 0x0)
2025-09-18 12:23:52.727388,00:0c:29:c2:dc:18,Ether / IPv6 / IPv6ExtHdrHopByHop / ICMPv6 Echo Request (id: 0x1bc seq: 0x0)
2025-09-18 12:23:52.767573,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_RS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:52.776850,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6ND_RA / ICMPv6NDOptSrcLLAddr / ICMPv6NDOptMTU / ICMPv6 Neighbor Discovery Option - Prefix Information 2001:a:b:c::/64 On-link 1 Autonomous Address 1 Router Address 0
2025-09-18 12:23:52.786959,00:0c:29:c2:dc:18,Ether / fe80::2cc4:e237:ed99:86bb > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:52.811811,00:0c:29:c2:dc:18,Ether / IP / IGMPv3: 192.168.0.3 > 224.0.0.1 Membership Query / IGMPv3mq
2025-09-18 12:23:52.814097,00:0c:29:c2:dc:18,Ether / IP / IGMPv3: 192.168.0.3 > 224.0.0.1 Membership Query / IGMPv3mq
2025-09-18 12:23:52.851491,00:0c:29:c2:dc:18,Ether / IP / IGMPv3: 192.168.0.3 > 224.0.0.1 Membership Query / IGMPv3mq
2025-09-18 12:23:52.852521,00:0c:29:c2:dc:18,Ether / IP / IGMPv3: 192.168.0.3 > 224.0.0.1 Membership Query / IGMPv3mq
2025-09-18 12:23:53.138922,00:0c:29:c2:dc:18,Ether / fe80::2cc4:e237:ed99:86bb > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2025-09-18 12:23:53.476815,00:50:56:c0:00:02,Ether / IP / UDP / BOOTP / DHCP Discover
2025-09-18 12:23:53.891948,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 0.0.0.0
2025-09-18 12:23:53.897751,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 0.0.0.0
2025-09-18 12:23:53.947666,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 224.0.0.1
