time,src MAC,des MAC,source IP,destination IP,protocol,length
1758212670.0830512,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.0830789,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.0831606,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.0933352,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.0933719,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.093719,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.093794,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1040068,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.104007,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1041932,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1043522,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1139877,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.113988,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1149216,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1150866,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1247342,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1247344,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1248887,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1249354,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1350677,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.135068,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.135596,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1356797,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1453447,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.145345,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1454585,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1454895,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1561441,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1561444,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1566882,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1567435,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1662176,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1662896,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1663678,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1664202,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1778016,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1778018,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1789503,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1791499,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1878698,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1879208,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1879687,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.1880627,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.198475,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1986215,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.1990812,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.199174,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2086384,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2087312,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2087996,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2088578,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2192295,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2192297,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2198381,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2198958,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2293003,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2293005,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2294295,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.229484,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,192.168.0.3,192.168.0.1,17,
1758212670.2396276,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.2396278,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,192.168.0.1,192.168.0.3,1,
1758212670.3105114,00:50:56:c0:00:02,01:00:5e:7f:ff:fa,169.254.92.128,239.255.255.250,17,
1758212670.3152473,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212670.4756465,00:0c:29:c2:dc:18,33:33:00:00:00:01,fe80::2cc4:e237:ed99:86bb,ff02::1,58,
1758212670.4997199,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212670.9488924,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212671.12244,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212671.567777,00:0c:29:c2:dc:18,01:00:5e:00:00:fc,192.168.0.3,224.0.0.252,17,
1758212672.083152,00:50:56:c0:00:02,33:33:ff:99:86:bb,fe80::cbea:9338:c8bb:5317,ff02::1:ff99:86bb,58,
1758212672.0833638,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,58,
1758212672.0875592,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212672.0894496,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212672.1033945,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,58,
1758212672.1083524,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212672.1319559,00:0c:29:c2:dc:18,01:00:5e:00:00:fb,192.168.0.3,224.0.0.251,17,
1758212672.1393485,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212672.5880053,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212672.7667303,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212673.208906,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212673.2104406,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,fe80::2cc4:e237:ed99:86bb,17,
1758212673.3997197,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212673.400741,00:50:56:c0:00:02,33:33:00:00:00:fb,fe80::cbea:9338:c8bb:5317,ff02::fb,17,
1758212673.4022608,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212673.4029946,00:50:56:c0:00:02,33:33:00:00:00:fb,fe80::cbea:9338:c8bb:5317,ff02::fb,17,
1758212673.4042368,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212673.404817,00:50:56:c0:00:02,33:33:00:00:00:fb,fe80::cbea:9338:c8bb:5317,ff02::fb,17,
1758212673.4438426,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212673.444496,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,fe80::2cc4:e237:ed99:86bb,17,
1758212673.445644,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212673.4465656,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212673.4470234,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,fe80::2cc4:e237:ed99:86bb,17,
1758212673.4470239,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,fe80::2cc4:e237:ed99:86bb,17,
1758212673.479276,00:50:56:c0:00:02,ff:ff:ff:ff:ff:ff,169.254.92.128,169.254.255.255,17,
1758212673.5196328,00:0c:29:c2:dc:18,33:33:00:00:00:01,fe80::2cc4:e237:ed99:86bb,ff02::1,58,
1758212673.7199533,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212673.7607775,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212674.5215032,00:50:56:c0:00:02,33:33:ff:99:86:bb,fe80::cbea:9338:c8bb:5317,ff02::1:ff99:86bb,58,
1758212674.521619,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,58,
1758212674.5322454,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212674.551807,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,58,
1758212674.5649605,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212675.2640486,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:c801:7ff:fe3b:8,58,
1758212675.273741,ca:01:07:3b:00:08,33:33:ff:3b:00:08,fe80::c801:7ff:fe3b:8,ff02::1:ff3b:8,58,
1758212675.2998981,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
